time,ask,bid
2018-08-03 19:40:00,0.89006,0.88987
2018-08-03 19:50:00,0.89007,0.8899
2018-08-03 20:00:00,0.88987,0.88968
2018-08-03 20:10:00,0.88968,0.88951
2018-08-03 20:20:00,0.88965,0.88947
2018-08-03 20:30:00,0.88949,0.88929
2018-08-03 20:40:00,0.88999,0.88969
2018-08-03 20:50:00,0.89016,0.88916
2018-08-05 21:00:00,0.89017,0.88919
2018-08-05 21:10:00,0.8902,0.88923
2018-08-05 21:20:00,0.89004,0.88939
2018-08-05 21:30:00,0.88999,0.88943
2018-08-05 21:40:00,0.89005,0.88948
2018-08-05 21:50:00,0.88995,0.8894
2018-08-05 22:00:00,0.8899,0.88961
2018-08-05 22:10:00,0.88975,0.88945
2018-08-05 22:20:00,0.88964,0.88945
2018-08-05 22:30:00,0.88969,0.88942
2018-08-05 22:40:00,0.88954,0.88934
2018-08-05 22:50:00,0.88936,0.88913
2018-08-05 23:00:00,0.88936,0.88916
2018-08-05 23:10:00,0.88925,0.88905
2018-08-05 23:20:00,0.88926,0.88904
2018-08-05 23:30:00,0.88913,0.88894
2018-08-05 23:40:00,0.88926,0.88906
2018-08-05 23:50:00,0.88931,0.88913
2018-08-06 00:00:00,0.88951,0.88931
2018-08-06 00:10:00,0.88946,0.88927
2018-08-06 00:20:00,0.88947,0.88928
2018-08-06 00:30:00,0.88947,0.88928
2018-08-06 00:40:00,0.88944,0.88926
2018-08-06 00:50:00,0.8894,0.88921
2018-08-06 01:00:00,0.88945,0.88928
2018-08-06 01:10:00,0.88949,0.8893
2018-08-06 01:20:00,0.88942,0.88922
2018-08-06 01:30:00,0.88957,0.88937
2018-08-06 01:40:00,0.8897,0.88952
2018-08-06 01:50:00,0.88977,0.8896
2018-08-06 02:00:00,0.88974,0.88956
2018-08-06 02:10:00,0.88969,0.88948
2018-08-06 02:20:00,0.88983,0.88966
2018-08-06 02:30:00,0.88985,0.88967
2018-08-06 02:40:00,0.88988,0.88969
2018-08-06 02:50:00,0.88975,0.88957
2018-08-06 03:00:00,0.88976,0.88956
2018-08-06 03:10:00,0.88966,0.88948
2018-08-06 03:20:00,0.8897,0.88952
2018-08-06 03:30:00,0.88976,0.88958
2018-08-06 03:40:00,0.88976,0.88958
2018-08-06 03:50:00,0.88976,0.88957
2018-08-06 04:00:00,0.88966,0.88948
2018-08-06 04:10:00,0.88967,0.88949
2018-08-06 04:20:00,0.88972,0.88954
2018-08-06 04:30:00,0.88953,0.88935
2018-08-06 04:40:00,0.88953,0.88936
2018-08-06 04:50:00,0.88961,0.88941
2018-08-06 05:00:00,0.88968,0.88949
2018-08-06 05:10:00,0.88954,0.88936
2018-08-06 05:20:00,0.88949,0.88931
2018-08-06 05:30:00,0.88959,0.88943
2018-08-06 05:40:00,0.88957,0.88941
2018-08-06 05:50:00,0.88963,0.88945
2018-08-06 06:00:00,0.88948,0.88932
2018-08-06 06:10:00,0.88953,0.88937
2018-08-06 06:20:00,0.88943,0.88928
2018-08-06 06:30:00,0.88942,0.88928
2018-08-06 06:40:00,0.88937,0.88922
2018-08-06 06:50:00,0.88964,0.8895
2018-08-06 07:00:00,0.88972,0.88957
2018-08-06 07:10:00,0.89,0.88984
2018-08-06 07:20:00,0.89015,0.88997
2018-08-06 07:30:00,0.89095,0.89079
2018-08-06 07:40:00,0.89098,0.89083
2018-08-06 07:50:00,0.89135,0.89119
2018-08-06 08:00:00,0.89175,0.89158
2018-08-06 08:10:00,0.89199,0.89184
2018-08-06 08:20:00,0.89198,0.89181
2018-08-06 08:30:00,0.89186,0.89171
2018-08-06 08:40:00,0.89178,0.89162
2018-08-06 08:50:00,0.89165,0.89149
2018-08-06 09:00:00,0.8918,0.89165
